                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    ADS    MDS   GAP  RMS  ERH  ERZ  MAG
2020-01-01T03:08:19.700000Z 51.719 36.564  6.0    8    8    8  92.14  35.50 186.0  0.7  6.5  5.5  4.0
2020-01-01T03:09:58.200000Z 51.876 35.896  0.0    5    5    5  85.28  21.50 238.0  0.6  8.2  6.2  2.5
2020-01-01T03:11:39.900000Z 51.826 35.966  8.5    6    6    6 104.70  20.60 288.0  0.9 16.6  7.5  3.0
2020-01-01T03:13:19.400000Z 52.037 36.036 10.0    7    7    7 104.19  61.00 208.0  1.2 13.6 19.5  3.5
2020-01-01T03:14:59.700000Z 52.135 36.397 21.0   10   10   10  69.05  16.70  89.0  0.9  7.1  6.3  5.0
2020-01-01T03:16:39.200000Z 51.979 35.674 17.6    6    6    6 102.08  41.00 269.0  1.0 21.1 21.4  3.0
2020-01-01T03:18:20.100000Z 51.720 35.879 16.3   10   10   10 109.15  33.60 236.0  0.8 10.5  6.1  5.0
2020-01-01T03:20:00.000000Z 51.631 36.156 19.2    7    7    7  79.30  38.50 182.0  0.8  9.1  9.9  3.5
2020-01-01T03:21:40.000000Z 51.880 35.914  8.5    9    9    9  98.36  19.80 225.0  1.0 11.1  7.0  4.5
2020-01-01T03:23:21.000000Z 52.010 35.730 15.3    5    5    5 123.42  93.20 264.0  0.8 21.5 25.4  2.5
2020-01-01T03:24:59.700000Z 51.787 36.145 14.2    9    9    9  90.50  25.20 170.0  0.9  9.0  6.2  4.5
2020-01-01T03:26:40.400000Z 52.170 35.882 10.0    5    5    5 103.18  76.40 239.0  0.7 13.2 15.3  2.5
2020-01-01T03:28:21.300000Z 52.404 35.730  8.9    7    7    7  99.09  48.00 262.0  0.6  7.8  7.9  3.5
2020-01-01T03:29:59.500000Z 51.899 35.943  2.2    6    6    6  90.38  16.40 248.0  0.9 13.0  7.2  3.0
2020-01-01T03:31:40.000000Z 51.311 36.401 26.0    9    9    9 112.03  15.20 191.0  1.0 36.8 23.5  4.5
2020-01-01T03:33:21.100000Z 52.089 35.796  8.9    5    5    5  73.04  27.60 249.0  0.7  9.9  6.8  2.5
2020-01-01T03:35:00.200000Z 52.453 36.101 14.4    6    6    6  74.12  42.80 248.0  0.9 15.4  8.7  3.0
2020-01-01T03:36:39.700000Z 52.049 35.831 17.4    9    9    9 105.04  23.30 229.0  1.1 14.3  7.3  4.5
2020-01-01T03:38:21.300000Z 52.039 35.731  7.9    9    9    9 113.54  34.40 238.0  0.9 10.5  6.7  4.5
2020-01-01T03:40:00.900000Z 52.215 35.965 10.4    7    7    7  92.73  63.00 212.0  1.0 11.5 11.1  3.5
2020-01-01T03:41:40.100000Z 52.046 36.251  5.2    8    8    8  78.41  13.90  91.0  1.2  8.9  9.8  4.0
2020-01-01T03:43:20.300000Z 52.065 36.063 13.1    8    8    8  85.74   3.64 143.0  1.1 11.4  5.5  4.0
2020-01-01T03:44:59.200000Z 52.108 35.835  3.7    8    8    8  97.66  47.40 227.0  1.1 12.5 14.1  4.0
2020-01-01T03:46:40.000000Z 52.182 36.332 10.7   10   10   10  68.24   8.54  79.0  1.2  8.0  7.7  5.0
2020-01-01T03:48:19.800000Z 52.141 36.190 15.0    9    9    9  65.48   9.08 121.0  0.8  6.2  4.0  4.5
2020-01-01T03:49:59.500000Z 51.833 35.852  2.6    5    5    5 118.42  73.90 234.0  0.8 13.2 13.1  2.5
2020-01-01T03:51:39.900000Z 51.665 36.274 13.9    6    6    6  85.72  40.60 145.0  1.0  9.5  9.7  3.0
2020-01-01T03:53:20.300000Z 51.962 36.289 19.8    5    5    5  89.16  21.80 198.0  0.9 15.6  9.7  2.5
2020-01-01T03:54:59.900000Z 51.846 35.946  0.0    5    5    5 124.38  46.90 287.0  1.1 21.9 16.0  2.5
2020-01-01T03:56:40.100000Z 52.025 36.179 13.9    9    9    9  76.98  15.30 103.0  0.9  7.1  4.8  4.5
2020-01-01T03:58:20.700000Z 52.028 36.074 11.3    9    9    9  83.37   3.72 119.0  0.9  8.3  5.2  4.5
2020-01-01T04:00:00.700000Z 52.087 36.070  0.0    6    6    6  67.42  23.10 281.0  0.8 11.7  8.4  3.0
2020-01-01T04:01:40.100000Z 51.736 36.011  9.6    8    8    8  94.66  27.20 290.0  0.6  9.3  4.3  4.0
2020-01-01T04:03:20.200000Z 51.970 35.990 20.3    8    8    8  90.17   8.14 214.0  1.0 11.9  6.1  4.0
2020-01-01T04:05:01.000000Z 52.082 35.883 10.1    6    6    6  95.58  18.00 223.0  0.9 12.3  8.4  3.0
2020-01-01T04:06:40.200000Z 51.960 35.947 10.0    9    9    9  93.60  12.40 219.0  0.7  7.2  3.8  4.5
2020-01-01T04:08:19.700000Z 52.120 36.152 14.5    8    8    8  74.22  13.70 193.0  0.8  8.8  6.0  4.0
2020-01-01T04:10:00.700000Z 51.811 36.117 17.3    5    5    5  81.30  21.80 267.0  0.8 15.9  6.0  2.5
2020-01-01T04:11:40.700000Z 52.454 35.687  6.9    7    7    7 113.16  54.50 265.0  0.9 15.2 13.4  3.5
2020-01-01T04:13:19.500000Z 51.813 35.747  7.2   10   10   10 114.86  38.30 244.0  0.9 10.3  6.5  5.0
2020-01-01T04:15:00.300000Z 51.942 36.369  8.8    8    8    8  88.01  37.40 104.0  0.9  8.1 10.8  4.0
2020-01-01T04:16:39.800000Z 52.010 35.849 16.8    8    8    8  96.20  21.40 228.0  0.8 10.7  5.3  4.0
2020-01-01T04:18:19.500000Z 52.138 35.860 10.0    6    6    6  92.85  22.10 276.0  1.0 20.3 10.3  3.0
2020-01-01T04:20:00.800000Z 52.225 36.109 16.7    9    9    9  77.26  16.50 160.0  0.5  4.9  2.6  4.5
2020-01-01T04:21:39.900000Z 52.319 35.871  8.1    8    8    8  90.84  31.70 220.0  0.6  6.6  5.5  4.0
2020-01-01T04:23:19.900000Z 52.681 36.184 13.2    9    9    9  69.39  20.50 166.0  0.6  5.4  4.0  4.5
2020-01-01T04:25:00.400000Z 52.151 36.001 12.4   10   10   10  83.73  11.30 209.0  0.9  8.4  5.1  5.0
2020-01-01T04:26:39.600000Z 51.825 35.803 18.2    8    8    8 113.56  32.50 239.0  0.9 13.3 12.2  4.0
2020-01-01T04:28:18.500000Z 51.893 35.694 40.7    5    5    5 150.40 115.00 293.0  0.9 25.9 15.7  2.5
2020-01-01T04:30:01.000000Z 52.053 35.833 19.4    9    9    9 107.53  48.80 228.0  0.8 10.7  9.8  4.5
2020-01-01T04:31:39.600000Z 52.156 36.204 10.4    5    5    5  44.17   7.04 141.0  1.0 12.1 10.5  2.5
2020-01-01T04:33:19.800000Z 51.855 36.245 16.4    9    9    9  82.52  27.90 131.0  0.8  6.9  5.8  4.5
2020-01-01T04:34:59.000000Z 51.890 36.256  8.6    5    5    5  69.04  27.20 218.0  0.8 12.0  9.8  2.5
2020-01-01T04:36:39.400000Z 52.051 36.265 17.7    5    5    5  53.56  24.90 179.0  1.0 13.3  8.9  2.5
2020-01-01T04:38:21.200000Z 51.787 36.004 11.2    6    6    6  74.63  22.70 222.0  1.0 14.0  7.8  3.0
2020-01-01T04:40:00.700000Z 52.346 35.908 12.7    6    6    6  99.05  61.50 216.0  0.9 12.2 10.3  3.0
2020-01-01T04:41:39.100000Z 51.549 35.523  3.1   10   10   10 144.96  72.40 271.0  1.1 20.1 15.0  5.0
2020-01-01T04:43:19.100000Z 51.488 35.551  1.2    7    7    7 157.51  85.60 272.0  0.4 12.8  9.5  3.5
2020-01-01T04:44:59.800000Z 51.902 36.288 17.2    7    7    7  90.71  27.00 173.0  0.7  6.3  5.5  3.5
2020-01-01T04:46:39.900000Z 51.908 36.058 21.7    9    9    9  88.09  11.60 193.0  1.0 11.8  6.8  4.5
2020-01-01T04:48:20.600000Z 51.996 36.009 10.0    7    7    7  88.97  33.10 221.0  0.6  8.0  9.7  3.5
2020-01-01T04:49:59.400000Z 51.893 35.968 20.4    7    7    7  93.90  15.20 285.0  1.0 20.2  7.0  3.5
2020-01-01T04:51:40.600000Z 52.091 35.758 17.1    5    5    5  81.66  31.70 253.0  0.6  9.5  4.9  2.5
2020-01-01T04:53:20.000000Z 52.193 36.235 15.6    8    8    8  62.42   2.47 123.0  1.0  8.4  4.8  4.0
2020-01-01T04:54:59.400000Z 51.988 36.147 10.0    5    5    5  74.80  53.00 279.0  0.7 13.3 10.1  2.5
2020-01-01T04:56:39.100000Z 51.836 35.861 14.5    6    6    6  94.75  26.80 314.0  0.9 24.5  7.6  3.0
2020-01-01T04:58:18.400000Z 52.082 35.897  7.6    5    5    5  77.62  16.60 247.0  0.7 10.6  6.3  2.5
2020-01-01T05:00:01.000000Z 51.893 35.867 10.0    6    6    6  98.33  51.30 242.0  0.7  9.1  8.4  3.0
2020-01-01T05:01:39.900000Z 51.894 36.224 13.8    6    6    6  98.13  23.90 220.0  0.9 20.2  9.9  3.0
2020-01-01T05:03:19.400000Z 51.575 36.085  0.0    9    9    9 107.61  39.50 208.0  1.5 16.4 16.2  4.5
