   LON    LAT DEPTH  MAG NSTUSED NPHASEP NPHASES  MIND GAP  RMS    ERH    ERZ YYYY MM DD HH MN  SEC
50.599 29.812  15.0  0.0      23      23      21  67.7 303 0.57  12.11 149.80 2021 06 14 13 03 58.9
50.631 29.970  10.5  0.0       3       3       3  85.1 313 0.28  13.45 999.90 2021 06 14 22 02 08.7
50.738 29.719  51.0  0.0      10      10       8  86.6 335 0.45  22.89  33.00 2021 06 14 22 02 14.6
50.718 29.750   0.0  0.0      25      25       6  77.0 336 0.31 163.13 130.40 2021 06 14 23 04 35.0
50.473 29.649  28.6  0.0       7       7       4  46.4 294 0.63  22.06  48.50 2021 06 15 00 27 18.4
50.639 29.746  22.4  0.0      11      11       4  63.0 297 0.54  26.62 124.90 2021 06 19 02 50 41.1
50.779 29.655  58.4  0.0      17      17       4  57.5 333 0.30  11.90  14.60 2021 06 19 02 50 41.4
50.632 29.758  12.3  0.0      22      22       8  63.8 298 0.61  14.18 520.90 2021 06 21 09 50 33.6
50.596 29.724  10.9  0.0       9       9       6  58.9 296 0.38  23.94  53.40 2021 06 23 14 38 24.5
50.650 29.675  33.3  0.0       5       5       4  65.8 339 0.09   7.75  14.40 2021 06 24 04 54 33.5
50.535 29.630  11.7  0.0      23      23       5  46.8 286 0.52  12.03 560.60 2021 06 30 15 44 45.5
50.688 29.737  10.0  0.0      15      15      13  64.6 294 0.75  39.44  94.70 2021 07 08 10 34 05.3
50.634 29.675  23.3  0.0      36      36      34  56.0 286 0.64   8.36  29.40 2021 07 09 07 13 07.5
50.550 29.786   6.9  0.0      34      34      33  63.2 299 0.58  20.21  25.00 2021 07 13 00 01 24.7
50.907 29.857  11.9  0.0      36      36      36  75.4 299 2.88  43.36 999.90 2021 07 13 11 11 56.2
50.911 29.898  15.0  0.0      35      35      30  79.8 302 0.82  34.77  81.90 2021 07 13 11 14 58.1
50.904 29.904   7.0  0.0      34      34      33  80.6 302 1.05  48.65  61.10 2021 07 13 11 37 49.3
50.958 29.840  11.2  0.0      34      34      32  72.8 298 3.13  45.73 999.90 2021 07 13 11 41 35.6
50.613 29.663  12.0  0.0      27      27      27  53.8 289 0.71  19.20  43.10 2021 07 15 02 52 57.1
50.674 29.641  11.8  0.0      17      17      10  55.4 284 2.05  78.53  88.00 2021 07 16 03 10 38.9
50.714 29.588  11.8  0.0      14      14       5  53.7 277 0.56  20.59 999.90 2021 07 18 15 41 41.0
50.936 29.669  42.8  0.0      21      21      18  78.2 331 0.40  14.92  26.80 2021 07 18 16 13 28.4
50.632 29.635  43.3  0.0      12      12       1  67.0 332 0.39  22.12  26.20 2021 07 21 05 56 12.1
50.595 29.689  11.6  0.0      20      20      16  55.4 292 0.47  13.30 912.10 2021 07 23 05 08 10.9
50.645 29.819  11.7  0.0       9       9       4  70.3 303 0.49  14.81 933.30 2021 07 23 21 55 52.1
50.666 29.741  15.0  0.0      24      24       6  87.5 337 0.24  10.90 223.30 2021 07 29 23 47 29.1
50.687 29.507   7.7  0.0      22      22       0  61.7 336 0.13  72.25   0.00 2021 07 29 23 47 33.1
50.621 29.840  11.2  0.0      19      19      11  71.5 304 0.35   8.27 999.90 2021 07 30 21 10 22.1
50.594 29.601  42.7  0.0      24      24      20  64.9 336 0.34  12.09  16.70 2021 07 30 21 14 04.4
