                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS   ERH   ERZ  MAG
2020-01-01T02:06:39.900000Z 51.930 35.491 10.0    8    8    8  61.80 259.0  0.4  13.8  15.7  4.0
2020-01-01T02:08:19.800000Z 52.219 36.473  9.5    6    7    7  13.50  93.0  0.4   4.4   4.6  3.5
2020-01-01T02:09:59.300000Z 52.081 35.942  8.5    5    7    7  11.70 273.0  0.2   7.8   2.5  3.5
2020-01-01T02:11:39.600000Z 51.959 35.985 10.0    5    6    6  69.40 281.0  0.5  11.4   8.4  3.0
2020-01-01T02:13:19.400000Z 52.003 35.703 21.1    4    6    6  37.60 241.0  0.4  10.4   6.0  3.0
2020-01-01T02:15:01.100000Z 51.892 35.826 16.0    5    7    7  27.10 255.0  0.4   6.7   3.0  3.5
2020-01-01T02:16:40.200000Z 52.053 35.947 12.8    8    9    9  10.50 271.0  0.4   5.9   2.3  4.5
2020-01-01T02:18:19.800000Z 52.139 35.960 15.3    6    6    6  12.90 234.0  0.4  11.1   5.5  3.0
2020-01-01T02:20:00.000000Z 52.223 36.040 10.0    7    8    8  16.90 200.0  0.3   6.5   6.3  4.0
2020-01-01T02:21:39.600000Z 52.499 35.559 10.8    9   10   10  67.90 246.0  0.5   6.6   5.4  5.0
2020-01-01T02:23:19.300000Z 51.852 36.168 30.3    5    6    6  32.80 295.0  0.3  10.1  19.6  3.0
2020-01-01T02:24:59.900000Z 52.564 35.939 18.1    4    5    5  44.30 208.0  0.0   5.1   9.2  2.5
2020-01-01T02:26:40.100000Z 52.037 35.955 10.6    4    6    6  69.10 244.0  0.4   7.0   7.7  3.0
2020-01-01T02:28:20.400000Z 52.297 35.955  9.0    8    8    8  62.40 212.0  0.3   3.7   3.7  4.0
2020-01-01T02:30:00.500000Z 52.140 35.944 16.4    5    5    5  14.30 230.0  0.4   7.4   2.8  2.5
2020-01-01T02:31:42.000000Z 52.212 35.952  0.0    3    6    6  18.80 253.0  1.1  53.7  50.2  3.0
2020-01-01T02:33:20.600000Z 52.120 36.306  8.4    5    5    5   9.14 142.0  0.4   4.1   5.7  2.5
2020-01-01T02:35:00.500000Z 52.112 35.857  2.6    7    8    8  21.60 265.0  0.4  11.1  14.9  4.0
2020-01-01T02:36:39.700000Z 52.110 36.024 16.5    6    8    8   6.99 203.0  0.2   6.1   2.4  4.0
2020-01-01T02:38:20.100000Z 52.068 35.987 19.5    8    9    9  32.20 212.0  0.3   6.4   5.0  4.5
2020-01-01T02:40:00.000000Z 52.270 36.069 16.6    8    9    9  21.40 177.0  0.4   5.1   3.6  4.5
2020-01-01T02:41:40.200000Z 52.408 36.247 16.1    6    7    7  30.70 180.0  0.4   6.2   4.3  3.5
2020-01-01T02:43:19.900000Z 52.144 35.626 13.2    6    6    6  47.10 281.0  0.3  26.5  20.6  3.0
2020-01-01T02:45:00.100000Z 52.131 36.108 13.3    6    7    7  17.70 198.0  0.3   3.8   2.8  3.5
