                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS    ERH   ERZ  MAG
2020-01-01T01:56:40.000000Z 52.170 36.003 11.3    8    9    9  12.80 208.0  0.5    5.0   3.5  4.5
2020-01-01T01:58:20.500000Z 51.957 35.993 13.6    4    4    4   8.78 308.0  0.3   13.3   5.4  2.0
2020-01-01T01:59:59.400000Z 52.199 36.175  0.5    6    6    6  61.20 194.0  0.5    5.5  20.5  3.0
2020-01-01T02:01:39.800000Z 52.117 36.038  3.6    3    4    4   7.34 255.0  0.2   16.0   3.1  2.0
2020-01-01T02:03:19.500000Z 52.050 36.099 19.4    5    6    6   6.55 167.0  0.2    7.2   4.1  3.0
2020-01-01T02:04:59.900000Z 52.047 36.157 20.5    8   10   10  12.90  97.0  0.4    3.2   2.4  5.0
2020-01-01T02:06:40.600000Z 52.004 35.453 14.3    6    7    7  65.20 299.0  0.3   20.1   7.6  3.5
2020-01-01T02:08:20.000000Z 52.234 36.484 11.7    5    6    6  11.70 172.0  0.3    4.1   5.0  3.0
2020-01-01T02:09:59.700000Z 52.089 35.966  7.3   10   10   10   9.58 214.0  0.4    3.8   3.1  5.0
2020-01-01T02:11:40.500000Z 51.991 35.994 12.8    8   10   10   6.52 280.0  0.4    7.5   1.9  5.0
2020-01-01T02:13:20.000000Z 51.990 35.764 19.3    4    5    5  31.00 290.0  0.1    6.3   3.8  2.5
2020-01-01T02:14:59.400000Z 51.861 35.742 17.9    6    6    6  36.70 264.0  0.2    6.3   7.0  3.0
2020-01-01T02:16:40.700000Z 52.082 35.971 12.5    8    8    8   8.78 251.0  0.4   10.4   6.0  4.0
2020-01-01T02:18:21.100000Z 52.110 36.018 15.0    4    5    5   7.24 231.0  0.0    9.3   6.2  2.5
2020-01-01T02:20:00.300000Z 52.230 36.060  7.8    6    7    7  17.70 179.0  0.2    3.5   3.5  3.5
2020-01-01T02:21:39.900000Z 52.493 35.580 11.2    8    9    9  65.70 244.0  0.4    6.0   4.1  4.5
2020-01-01T02:23:22.200000Z 52.019 36.270 29.0    5    5    5  16.30 265.0  0.2   14.9   4.0  2.5
2020-01-01T02:25:00.300000Z 52.563 35.948 14.6    9   10   10  43.70 206.0  0.4    3.3   2.6  5.0
2020-01-01T02:26:39.800000Z 52.016 35.951  8.8    4    5    5  70.20 240.0  0.3    4.4   6.9  2.5
2020-01-01T02:28:20.200000Z 52.317 35.926 10.0    6    7    7  62.50 235.0  0.3    8.5   7.1  3.5
2020-01-01T02:30:01.400000Z 52.092 36.016 19.4    3    4    4   5.84 271.0  0.0   13.6   4.4  2.0
2020-01-01T02:31:39.500000Z 51.702 36.036 20.0    5    5    5  30.00 214.0  0.3    8.3   3.3  2.5
2020-01-01T02:33:20.100000Z 52.119 36.294  4.1    4    4    4   8.42 150.0  0.3    4.4  13.7  2.0
2020-01-01T02:35:00.000000Z 51.878 35.889 24.0    6    7    7  50.00 313.0  0.2    9.8   5.3  3.5
2020-01-01T02:36:40.100000Z 52.123 36.057 17.1   10   10   10   8.07 174.0  0.5    4.5   2.4  5.0
2020-01-01T02:38:19.600000Z 52.057 35.958 17.9    7    8    8  35.50 216.0  0.2    4.4   5.9  4.0
2020-01-01T02:40:00.000000Z 52.246 36.088 15.8   10   10   10  19.10 170.0  0.3    3.4   2.1  5.0
2020-01-01T02:41:39.900000Z 52.427 36.245 17.7    6    6    6  31.30 181.0  0.3    3.6   2.8  3.0
2020-01-01T02:43:19.900000Z 52.079 35.639 17.4    4    5    5  44.80 307.0  0.3   64.0  53.5  2.5
2020-01-01T02:45:00.400000Z 52.157 36.116 12.7    5    6    6  16.10 266.0  0.3    9.5   3.7  3.0
2020-01-01T02:46:39.700000Z 52.177 36.217 12.4    7    7    7   4.82 185.0  0.5    5.6   4.0  3.5
